"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C17,C23,C32";"CP_Radial_D6.3mm_P2.50mm";3;"47µF";;;
2;"U2";"SDIP64";1;"V9958";;;
3;"P5";"Pin_Header_Angled_2x25";1;"CONN_02X25";;;
4;"MH1,MH2,MH4,MH3";"MountingHole_3mm";4;"MountingHole_3mm_RevA_Date21Jun2010";;;
5;"R1,R3";"R3";2;"33K";;;
6;"R2,R6";"R3";2;"4K7";;;
7;"R4";"R3";1;"15K";;;
8;"R5";"R3";1;"27K";;;
9;"R7,R8,R9";"R3";3;"470";;;
10;"R10,R11";"R3";2;"2.2k";;;
11;"R12,R13,R14,R17,R18";"R3";5;"75";;;
12;"R15";"R3";1;"43";;;
13;"R16";"R3";1;"2.61k/10%";;;
14;"R19";"R3";1;"240";;;
15;"U1";"DIP-16_W7.62mm_LongPads";1;"74LS139";;;
16;"U3,U4,U5,U6,U7,U9";"DIP-18_W7.62mm_LongPads";6;"DRAM_64KX4";;;
17;"U8";"DIP-24_W15.24mm_LongPads";1;"YM3812";;;
18;"U10";"DIP-8_W7.62mm_LongPads";1;"Y3014B";;;
19;"U12";"SOIC-24W_7.5x15.4mm_Pitch1.27mm";1;"cxa2075M";;;
20;"Y1";"Crystal_HC49-U_Vertical";1;"21,443Mhz";;;
21;"C1,C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"22p";;;
22;"C3,C4,C5,C6,C7,C8,C9,C10,C15,C16,C18,C19,C28,C29";"C_Disc_D3.0mm_W1.6mm_P2.50mm";14;"100n";;;
23;"C11,C14";"CP_Radial_D6.3mm_P2.50mm";2;"10µF";;;
24;"C12,C13";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"470p";;;
25;"C20,C21,C22,C24,C26,C27";"CP_Radial_D6.3mm_P2.50mm";6;"220µF";;;
26;"C25";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"100n";;;
27;"J4";"mini_din-M_DIN4";1;"S-VIDEO";;;
28;"X1";"Oscillator_DIP-14_LargePads";1;"OSC";;;
29;"U11";"DIP-14_W7.62mm_LongPads";1;"LM324";;;
30;"JP1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"JUMPER";;;
31;"J2";"DIN-8";1;"RGB";;;
32;"C30";"CP_Radial_D7.5mm_P2.50mm";1;"100µF";;;
33;"J1";"rca";1;"Audio";;;
34;"J3";"rca";1;"Composite";;;
