Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"R10,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17",Resistor 1/4w,11,270,https://www.reichelt.de/widerstand-kohleschicht-270-ohm-0207-250-mw-5-k-o-rd14jn271t52-p237381.html?&trstct=pos_1
2,P5,Pin_Header_Angled_2x25,1,CONN_02X25,https://www.reichelt.de/2x25pol-stiftleiste-gewinkelt-rm-2-54-sl-2x25w-2-54-p19495.html?&trstct=pol_0
4,"C1,C5,C6,C7,C8,C10,C11,C12,C13,C9",Ceramic Capacitor 2.54,10,100n,https://www.reichelt.de/keramik-kondensator-100n-kerko-100n-p9265.html?r=1
5,C4,Elko vertical 2.54,1,1µ,https://www.reichelt.de/keramik-kondensator-100n-kerko-100n-p9265.html?r=1
6,P1,Pin_Header_Straight_2x04,1,CONN_02X04,https://www.reichelt.de/stiftleisten-2-54-mm-2x04-gerade-mpe-087-2-008-p119894.html?&trstct=pol_0
7,P3,Pin_Header_Straight_1x03,1,CONN_01X03,https://www.reichelt.de/stiftleisten-2-54-mm-1x03-gerade-mpe-087-1-003-p119880.html?&trstct=pol_1
8,P4,Pin_Header_Straight_2x02,1,CONN_02X02,https://www.reichelt.de/rnd-stiftleiste-4-pol-rm-2-54-mm-rnd-205-00633-p208859.html?&trstct=pol_0
9,"R1,R2,R3,R4",R3,4,3.3k,https://www.reichelt.de/widerstand-kohleschicht-3-3-kohm-0207-250-mw-5-1-4w-3-3k-p1397.html?r=1
10,"R6,R5",R3,2,1M,https://www.reichelt.de/widerstand-kohleschicht-1-0-mohm-0207-250-mw-5-1-4w-1-0m-p1316.html?&trstct=pos_0
11,P2,Pin_Header_Straight_1x08,1,CONN_01X08,https://www.reichelt.de/stiftleisten-2-54-mm-1x08-gerade-mpe-087-1-008-p119884.html?&trstct=pol_6
12,C2,Ceramic Capacitor 2.54,1,10n,https://www.reichelt.de/keramik-kondensator-10n-kerko-10n-p9267.html?r=1
13,C3,Ceramic Capacitor 2.54,1,1n,https://www.reichelt.de/smd-kerko-1-nf-100-v-10-85-c-hita-hb2a102k-s2-p246880.html?&trstct=pol_2
14,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11",LED-3MM,11,LED,https://www.reichelt.de/led-3-mm-bedrahtet-rot-4-5-mcd-60-led-3mm-rt-p10228.html?r=1
15,U14,DIP-20_W7.62mm_LongPads,1,GAL16V8,https://www.ebay.de/itm/1PCS-GAL16V8D-15LPN-GAL16V8D-DIP-20-IC-NEW/232836527288?hash=item36362374b8:g:es0AAOSwnklauxGu
16,U9,DIP-16_W7.62mm_LongPads,1,74HCT139,https://www.reichelt.de/decoder-mpx-2-to-4-2-6-v-dil-16-74hct-139-p3319.html?r=1
17,C14,Ceramic Capacitor 2.54,1,100n,https://www.reichelt.de/keramik-kondensator-100n-kerko-100n-p9265.html?r=1
18,SW1,Push_E-Switch_KS01Q01,1,SW_PUSH,https://www.reichelt.de/eingabetaster-schaltspannung-100v-rund-rt-dt-6-rt-p7240.html?&trstct=pol_15
